Date,Time,Steps,Heartrate,Movement
2023-1-20,16:20,0,,11
2023-1-20,16:30,0,,11
2023-1-20,16:40,0,,11
2023-1-20,16:50,0,,11
2023-1-20,17:00,0,,11
2023-1-20,17:10,0,,11
2023-1-20,17:20,0,,11
2023-1-20,17:30,0,,11
2023-1-20,17:40,0,,11
2023-1-20,17:50,0,,11
2023-1-20,18:00,0,,11
2023-1-20,18:10,0,,11
2023-1-20,18:20,0,,11
2023-1-20,18:30,0,,11
2023-1-20,18:40,0,,11
2023-1-20,18:50,0,,11
2023-1-20,19:00,0,,10
2023-1-20,19:10,0,,11
2023-1-20,19:20,0,,11
2023-1-20,19:30,0,,11
2023-1-20,19:40,0,,11
2023-1-20,19:50,0,,11
2023-1-20,20:00,0,,11
2023-1-20,20:10,0,,11
2023-1-20,20:20,0,,11
2023-1-20,20:30,0,,11
2023-1-20,20:40,0,,11
2023-1-20,20:50,0,,11
2023-1-20,21:00,0,,11
2023-1-20,21:10,0,,11
2023-1-20,21:20,0,,11
2023-1-20,21:30,0,,11
2023-1-20,21:40,0,,11
2023-1-20,21:50,0,,11
2023-1-20,22:00,0,,11
2023-1-20,22:10,0,,11
2023-1-20,22:20,0,,11
2023-1-20,22:30,0,,11
2023-1-20,22:40,0,,11
2023-1-20,22:50,0,,11
2023-1-20,23:00,0,,13
2023-1-20,23:10,0,,11
2023-1-20,23:20,0,,10
2023-1-20,23:30,0,,11
2023-1-20,23:40,0,,11
2023-1-20,23:50,0,,11
2023-1-21,0:00,0,,11
2023-1-21,0:10,0,,11
2023-1-21,0:20,0,,11
2023-1-21,0:30,0,,11
2023-1-21,0:40,0,,11
2023-1-21,0:50,0,,11
2023-1-21,1:00,0,,11
2023-1-21,1:10,0,,11
2023-1-21,1:20,0,,11
2023-1-21,1:30,0,,11
2023-1-21,1:40,0,,10
2023-1-21,1:50,0,,11
2023-1-21,2:00,0,,11
2023-1-21,2:10,0,,10
2023-1-21,2:20,0,,11
2023-1-21,2:30,0,,10
2023-1-21,2:40,0,,10
2023-1-21,2:50,0,,11
2023-1-21,3:00,0,,10
2023-1-21,3:10,0,,11
2023-1-21,3:20,0,,11
2023-1-21,3:30,0,,11
2023-1-21,3:40,0,,11
2023-1-21,3:50,0,,11
2023-1-21,4:00,0,,11
2023-1-21,4:10,0,,11
2023-1-21,4:20,0,,10
2023-1-21,4:30,0,,11
2023-1-21,4:40,0,,11
2023-1-21,4:50,0,,11
2023-1-21,5:00,0,,11
2023-1-21,5:10,0,,11
